date,state_code
2020-04-06,ak
2020-04-06,al
2020-04-06,ar
2020-04-06,az
2020-04-06,ca
2020-04-06,co
2020-04-06,ct
2020-04-06,dc
2020-04-06,de
2020-04-06,fl
2020-04-06,ga
2020-04-06,hi
2020-04-06,ia
2020-04-06,id
2020-04-06,il
2020-04-06,in
2020-04-06,ks
2020-04-06,ky
2020-04-06,la
2020-04-06,ma
2020-04-06,md
2020-04-06,me
2020-04-06,mi
2020-04-06,mn
2020-04-06,mo
2020-04-06,ms
2020-04-06,mt
2020-04-06,nc
2020-04-06,nd
2020-04-06,ne
2020-04-06,nh
2020-04-06,nj
2020-04-06,nm
2020-04-06,nv
2020-04-06,ny
2020-04-06,oh
2020-04-06,ok
2020-04-06,or
2020-04-06,pa
2020-04-06,ri
2020-04-06,sc
2020-04-06,sd
2020-04-06,tn
2020-04-06,tx
2020-04-06,ut
2020-04-06,va
2020-04-06,vt
2020-04-06,wa
2020-04-06,wi
2020-04-06,wv
2020-04-06,wy
2020-04-07,ak
2020-04-07,al
2020-04-07,ar
2020-04-07,az
2020-04-07,ca
2020-04-07,co
2020-04-07,ct
2020-04-07,dc
2020-04-07,de
2020-04-07,fl
2020-04-07,ga
2020-04-07,hi
2020-04-07,ia
2020-04-07,id
2020-04-07,il
2020-04-07,in
2020-04-07,ks
2020-04-07,ky
2020-04-07,la
2020-04-07,ma
2020-04-07,md
2020-04-07,me
2020-04-07,mi
2020-04-07,mn
2020-04-07,mo
2020-04-07,ms
2020-04-07,mt
2020-04-07,nc
2020-04-07,nd
2020-04-07,ne
2020-04-07,nh
2020-04-07,nj
2020-04-07,nm
2020-04-07,nv
2020-04-07,ny
2020-04-07,oh
2020-04-07,ok
2020-04-07,or
2020-04-07,pa
2020-04-07,ri
2020-04-07,sc
2020-04-07,sd
2020-04-07,tn
2020-04-07,tx
2020-04-07,ut
2020-04-07,va
2020-04-07,vt
2020-04-07,wa
2020-04-07,wi
2020-04-07,wv
2020-04-07,wy
2020-04-08,ak
2020-04-08,al
2020-04-08,ar
2020-04-08,az
2020-04-08,ca
2020-04-08,co
2020-04-08,ct
2020-04-08,dc
2020-04-08,de
2020-04-08,fl
2020-04-08,ga
2020-04-08,hi
2020-04-08,ia
2020-04-08,id
2020-04-08,il
2020-04-08,in
2020-04-08,ks
2020-04-08,ky
2020-04-08,la
2020-04-08,ma
2020-04-08,md
2020-04-08,me
2020-04-08,mi
2020-04-08,mn
2020-04-08,mo
2020-04-08,ms
2020-04-08,mt
2020-04-08,nc
2020-04-08,nd
2020-04-08,ne
2020-04-08,nh
2020-04-08,nj
2020-04-08,nm
2020-04-08,nv
2020-04-08,ny
2020-04-08,oh
2020-04-08,ok
2020-04-08,or
